optimizer,best_epoch,val_accuracy,val_precision,val_recall,f1_score,train_accuracy,train_precision,train_recall,train_f1_score
RMSprop,8,0.993322,0.99987,0.992003,0.995921,0.9962,0.9974,0.9972,0.9973
Adam,14,0.989899,0.999479,0.99048,0.994959,0.9974,0.9984,0.9978,0.9981
Adam_lower_lr,15,0.989732,0.999869,0.992003,0.995921,0.9973,0.9981,0.998,0.998
SGD_momentum,4,0.982386,0.99987,0.975248,0.987405,0.9917,0.9976,0.993,0.9953
Adagrad,7,0.981551,0.999738,0.97309,0.986234,0.9894,0.9964,0.9891,0.9927
